Term,event,date,source
Fall 2025,Classes Begin,8/13/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Drop / Add for undergraduate and graduate level courses,08/13/2025 - 08/19/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Holiday: Labor Day - No Classes,9/1/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Midterm,10/6/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Fall Break- No Classes,10/31/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Withdrawal Deadline,11/12/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Last Day of Classes prior to Thanksgiving Break,11/25/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Holiday: Thanksgiving - No Classes,11/26/2025 - 11/28/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Classes Resume,12/1/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Friday Class Schedule in Effect,12/2/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Classes End,12/2/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Reading Day,12/3/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Final Exams,12/04/2025 - 12/10/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Commencement,12/12/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Grades Due,12/15/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Classes Begin,1/12/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Drop / Add for undergraduate and graduate level courses,01/12/2026 - 01/16/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Holiday: Martin Luther King Jr. Day- No Classes,1/19/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Midterm,2-Mar,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Last Day of Classes prior to Spring Break,3/6/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Spring Break- No Classes,03/09/2026 - 03/13/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Classes Resume,3/16/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Withdrawal Deadline,9-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,MW and Monday Only Class Schedule in Effect (Does not include MWF Classes),27-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Classes End,27-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Reading Day,28-Apr,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Final Exams,04/29/2026 - 05/05/2026,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Graduate Commencement,7-May,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Undergraduate Commencement,8-May,https://reg.uga.edu/general-information/calendars/academic-calendars/
Spring 2026,Grades Due,11-May,https://reg.uga.edu/general-information/calendars/academic-calendars/
