Term,event,date,source,start_date,end_date,canon_text
Fall 2025,Classes Begin,8/13/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,8/13/2025,8/13/2025,Fall 2025 — Classes Begin — 2025-08-13 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Drop / Add for undergraduate and graduate level courses,08/13/2025 - 08/19/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,8/13/2025,8/19/2025,Fall 2025 — Drop / Add for undergraduate and graduate level courses — 2025-08-13 to 2025-08-19 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Holiday: Labor Day - No Classes,9/1/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,9/1/2025,9/1/2025,Fall 2025 — Holiday: Labor Day - No Classes — 2025-09-01 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Midterm,10/6/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,10/6/2025,10/6/2025,Fall 2025 — Midterm — 2025-10-06 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Fall Break- No Classes,10/31/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,10/31/2025,10/31/2025,Fall 2025 — Fall Break- No Classes — 2025-10-31 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Withdrawal Deadline,11/12/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,11/12/2025,11/12/2025,Fall 2025 — Withdrawal Deadline — 2025-11-12 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Last Day of Classes prior to Thanksgiving Break,11/25/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,11/25/2025,11/25/2025,Fall 2025 — Last Day of Classes prior to Thanksgiving Break — 2025-11-25 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Holiday: Thanksgiving - No Classes,11/26/2025 - 11/28/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,11/26/2025,11/28/2025,Fall 2025 — Holiday: Thanksgiving - No Classes — 2025-11-26 to 2025-11-28 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Classes Resume,12/1/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,12/1/2025,12/1/2025,Fall 2025 — Classes Resume — 2025-12-01 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Friday Class Schedule in Effect,12/2/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,12/2/2025,12/2/2025,Fall 2025 — Friday Class Schedule in Effect — 2025-12-02 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Classes End,12/2/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,12/2/2025,12/2/2025,Fall 2025 — Classes End — 2025-12-02 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Reading Day,12/3/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,12/3/2025,12/3/2025,Fall 2025 — Reading Day — 2025-12-03 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
Fall 2025,Final Exams,12/04/2025 - 12/10/2025,https://reg.uga.edu/general-information/calendars/academic-calendars/,12/4/2025,12/10/2025,Fall 2025 — Final Exams — 2025-12-04 to 2025-12-10 — source: https://reg.uga.edu/general-information/calendars/academic-calendars/
